subject,mean_reward,accuracy,mean conf,reward,cor,cj,fwd_emp,model,x_idx
47470,0.531513596390375,0.6825,4.514388905763406,0.54631416774125,0.7675,4.5804827652775,-0.08499999999999996,lv_test,451
47737,0.523841927674125,0.645,3.3751098302837033,0.555668070730025,0.84,3.3936308272874998,-0.19499999999999995,lv_test,452
47740,0.53961329842225,0.685,3.077920884021273,0.53687057880625,0.715,2.9891868853725,-0.029999999999999916,lv_test,453
47743,0.53370159141925,0.6875,4.242239255936484,0.55868181604725,0.8475,4.2255611646425,-0.16000000000000003,lv_test,454
45628,0.5113270369859,0.6075,4.779893327018803,0.5564416706690001,0.845,4.7890347923675,-0.23749999999999993,hv_test,601
45640,0.537191543363025,0.735,2.9362043797425263,0.5490174080975251,0.8,2.9334456301325003,-0.06500000000000006,hv_test,602
45664,0.52797862865375,0.6725,3.6668436237238757,0.52898498961375,0.7,3.6643266833825,-0.02749999999999997,hv_test,603
45682,0.539812705948,0.72,3.238530970620673,0.53357925957525,0.69,3.208915811225,0.030000000000000027,hv_test,604
45745,0.51752735853665,0.6425,4.752913486306429,0.575000500357,0.915,4.7027777908925,-0.2725000000000001,hv_test,605
45760,0.54107260446325,0.7275,3.883889502876922,0.55226762695965,0.7875,3.777255984725,-0.05999999999999994,hv_test,606
45763,0.510338680785525,0.5925,4.62627292994576,0.5558314303345,0.7875,4.63,-0.19499999999999995,hv_test,607
45805,0.52725668181075,0.655,4.869418315783459,0.564243609821,0.8525,4.8683838476400005,-0.1975,hv_test,608
45829,0.5389510131587749,0.735,3.513457123978836,0.5596807464,0.8275,3.4773682586075,-0.09250000000000003,hv_test,609
45964,0.5524135884065,0.78,3.643731996522871,0.54447467047675,0.7575,3.5807921318375002,0.022500000000000075,hv_test,610
46024,0.5245274059414,0.6675,4.640563704576927,0.5514508446824,0.8125,4.63107744108,-0.14500000000000002,hv_test,611
46057,0.5352987217926249,0.7125,3.464356941382674,0.5462066550679,0.775,3.2823097643224997,-0.0625,hv_test,612
46072,0.5324165510405,0.7025,3.5143923258166567,0.5531792346539001,0.8075,3.5478227329700003,-0.10499999999999998,hv_test,613
46102,0.5352936761464,0.7175,4.742375631455339,0.55626619708125,0.845,4.73491035467,-0.12749999999999995,hv_test,614
46114,0.52043628224015,0.64,3.4712648326795534,0.5346555004325,0.7325,3.4322896917625,-0.09250000000000003,hv_test,615
46159,0.532638713238025,0.67,3.5757201660570694,0.56158597881225,0.835,3.3499687754550003,-0.16499999999999992,hv_test,616
46180,0.53550697078515,0.715,4.477590857358709,0.554030026975625,0.785,4.5342312247025,-0.07000000000000006,hv_test,617
46198,0.5420615848095001,0.7525,4.350058614098046,0.54933772257165,0.78,4.3500900148425,-0.02750000000000008,hv_test,618
46255,0.5341143647614,0.685,3.798613718084704,0.550013143123525,0.78,3.79747484511,-0.09499999999999997,hv_test,619
46330,0.53234080799465,0.7275,2.9251740132150776,0.5519221101678999,0.8225,2.9251740161625004,-0.09499999999999997,hv_test,620
46357,0.5194320147229999,0.6375,4.712234487928731,0.533771053077025,0.6825,4.718333387615,-0.04500000000000004,hv_test,621
46384,0.5123653119749,0.585,2.480839642387752,0.5012593813182751,0.55,2.480839646395,0.03499999999999992,hv_test,622
46450,0.530856590902875,0.71,3.2578968375769346,0.553230633671,0.815,3.2578676813425,-0.10499999999999998,hv_test,623
46471,0.539728039726375,0.73,3.6178337415732567,0.548786888694,0.77,3.5300470805925,-0.040000000000000036,hv_test,624
46486,0.542631164716625,0.7225,3.0623511516343034,0.5474852230525,0.76,3.1111673359100003,-0.03749999999999998,hv_test,625
46489,0.525558013229525,0.685,4.655512426104016,0.55710901660525,0.83,4.634063973067501,-0.1449999999999999,hv_test,626
46522,0.539476321212875,0.7375,3.0501253618300628,0.533991069697125,0.72,2.898165095695,0.01750000000000007,hv_test,627
